,ta,ts,speed,kp,kd,ki,simul_settling_time,settling_time
0,20.0,20.0,100.0,10.0,1400.0,0.006,0.2304,0.358
1,20.0,20.0,100.0,10.0,1400.0,0.006,0.2304,0.373
2,20.0,20.0,100.0,10.0,1400.0,0.006,0.2304,0.373
3,20.0,20.0,100.0,10.0,1400.0,0.01,0.2685,0.299
4,20.0,20.0,100.0,10.0,1400.0,0.01,0.2685,0.3
5,20.0,20.0,100.0,10.0,1400.0,0.01,0.2685,0.299
6,20.0,20.0,100.0,10.0,1400.0,0.012,0.2884,0.252
7,20.0,20.0,100.0,10.0,1400.0,0.012,0.2884,0.261
8,20.0,20.0,100.0,10.0,1400.0,0.012,0.2884,0.252
9,20.0,20.0,100.0,10.0,1400.0,0.014,0.3097,0.229
10,20.0,20.0,100.0,10.0,1400.0,0.014,0.3097,0.224
11,20.0,20.0,100.0,10.0,1400.0,0.014,0.3097,0.231
12,20.0,20.0,100.0,10.0,1400.0,0.016,0.3434,0.261
13,20.0,20.0,100.0,10.0,1400.0,0.016,0.3434,0.269
14,20.0,20.0,100.0,10.0,1400.0,0.016,0.3434,0.261
18,20.0,20.0,100.0,10.0,1500.0,0.006,0.2362,0.259
19,20.0,20.0,100.0,10.0,1500.0,0.006,0.2362,0.258
20,20.0,20.0,100.0,10.0,1500.0,0.006,0.2362,0.264
21,20.0,20.0,100.0,10.0,1500.0,0.01,0.2733,0.304
22,20.0,20.0,100.0,10.0,1500.0,0.01,0.2733,0.315
23,20.0,20.0,100.0,10.0,1500.0,0.01,0.2733,0.306
24,20.0,20.0,100.0,10.0,1500.0,0.012,0.2929,0.255
25,20.0,20.0,100.0,10.0,1500.0,0.012,0.2929,0.257
26,20.0,20.0,100.0,10.0,1500.0,0.012,0.2929,0.261
27,20.0,20.0,100.0,10.0,1500.0,0.014,0.3125,0.227
28,20.0,20.0,100.0,10.0,1500.0,0.014,0.3125,0.228
29,20.0,20.0,100.0,10.0,1500.0,0.014,0.3125,0.238
30,20.0,20.0,100.0,10.0,1500.0,0.016,0.3334,0.278
31,20.0,20.0,100.0,10.0,1500.0,0.016,0.3334,0.288
32,20.0,20.0,100.0,10.0,1500.0,0.016,0.3334,0.285
33,20.0,20.0,100.0,10.0,1500.0,0.02,0.3888,0.243
34,20.0,20.0,100.0,10.0,1500.0,0.02,0.3888,0.248
35,20.0,20.0,100.0,10.0,1500.0,0.02,0.3888,0.246
36,20.0,20.0,100.0,10.0,1600.0,0.006,0.2442,0.258
37,20.0,20.0,100.0,10.0,1600.0,0.006,0.2442,0.268
38,20.0,20.0,100.0,10.0,1600.0,0.006,0.2442,0.27
39,20.0,20.0,100.0,10.0,1600.0,0.01,0.2782,0.322
40,20.0,20.0,100.0,10.0,1600.0,0.01,0.2782,0.33
41,20.0,20.0,100.0,10.0,1600.0,0.01,0.2782,0.324
42,20.0,20.0,100.0,10.0,1600.0,0.012,0.2976,0.27
43,20.0,20.0,100.0,10.0,1600.0,0.012,0.2976,0.27
44,20.0,20.0,100.0,10.0,1600.0,0.012,0.2976,0.263
45,20.0,20.0,100.0,10.0,1600.0,0.014,0.3169,0.231
46,20.0,20.0,100.0,10.0,1600.0,0.014,0.3169,0.234
47,20.0,20.0,100.0,10.0,1600.0,0.014,0.3169,0.233
48,20.0,20.0,100.0,10.0,1600.0,0.016,0.3362,0.286
49,20.0,20.0,100.0,10.0,1600.0,0.016,0.3362,0.288
50,20.0,20.0,100.0,10.0,1600.0,0.016,0.3362,0.285
51,20.0,20.0,100.0,10.0,1600.0,0.02,0.3894,0.252
52,20.0,20.0,100.0,10.0,1600.0,0.02,0.3894,0.254
53,20.0,20.0,100.0,10.0,1600.0,0.02,0.3894,0.258
54,20.0,20.0,100.0,10.0,1700.0,0.006,0.2629,0.26
55,20.0,20.0,100.0,10.0,1700.0,0.006,0.2629,0.268
56,20.0,20.0,100.0,10.0,1700.0,0.006,0.2629,0.263
57,20.0,20.0,100.0,10.0,1700.0,0.01,0.283,0.326
58,20.0,20.0,100.0,10.0,1700.0,0.01,0.283,0.333
59,20.0,20.0,100.0,10.0,1700.0,0.01,0.283,0.329
60,20.0,20.0,100.0,10.0,1700.0,0.012,0.3022,0.28
61,20.0,20.0,100.0,10.0,1700.0,0.012,0.3022,0.283
62,20.0,20.0,100.0,10.0,1700.0,0.012,0.3022,0.274
63,20.0,20.0,100.0,10.0,1700.0,0.014,0.3215,0.235
64,20.0,20.0,100.0,10.0,1700.0,0.014,0.3215,0.243
65,20.0,20.0,100.0,10.0,1700.0,0.014,0.3215,0.244
66,20.0,20.0,100.0,10.0,1700.0,0.016,0.3406,0.289
67,20.0,20.0,100.0,10.0,1700.0,0.016,0.3406,0.301
68,20.0,20.0,100.0,10.0,1700.0,0.016,0.3406,0.297
69,20.0,20.0,100.0,10.0,1700.0,0.02,0.3792,0.253
70,20.0,20.0,100.0,10.0,1700.0,0.02,0.3792,0.255
71,20.0,20.0,100.0,10.0,1700.0,0.02,0.3792,0.262
72,20.0,20.0,100.0,10.0,2000.0,0.006,0.2846,0.271
73,20.0,20.0,100.0,10.0,2000.0,0.006,0.2846,0.278
74,20.0,20.0,100.0,10.0,2000.0,0.006,0.2846,0.282
75,20.0,20.0,100.0,10.0,2000.0,0.01,0.2964,0.342
76,20.0,20.0,100.0,10.0,2000.0,0.01,0.2964,0.349
77,20.0,20.0,100.0,10.0,2000.0,0.01,0.2964,0.356
78,20.0,20.0,100.0,10.0,2000.0,0.012,0.3147,0.304
79,20.0,20.0,100.0,10.0,2000.0,0.012,0.3147,0.302
80,20.0,20.0,100.0,10.0,2000.0,0.012,0.3147,0.303
81,20.0,20.0,100.0,10.0,2000.0,0.014,0.3312,0.252
82,20.0,20.0,100.0,10.0,2000.0,0.014,0.3312,0.262
83,20.0,20.0,100.0,10.0,2000.0,0.014,0.3312,0.252
84,20.0,20.0,100.0,10.0,2000.0,0.016,0.3465,0.301
85,20.0,20.0,100.0,10.0,2000.0,0.016,0.3465,0.316
86,20.0,20.0,100.0,10.0,2000.0,0.016,0.3465,0.314
87,20.0,20.0,100.0,10.0,2000.0,0.02,0.3901,0.262
88,20.0,20.0,100.0,10.0,2000.0,0.02,0.3901,0.263
89,20.0,20.0,100.0,10.0,2000.0,0.02,0.3901,0.261
90,20.0,20.0,100.0,20.0,1400.0,0.006,0.1669,0.188
91,20.0,20.0,100.0,20.0,1400.0,0.006,0.1669,0.185
92,20.0,20.0,100.0,20.0,1400.0,0.006,0.1669,0.187
93,20.0,20.0,100.0,20.0,1400.0,0.01,0.1788,0.167
94,20.0,20.0,100.0,20.0,1400.0,0.01,0.1788,0.168
95,20.0,20.0,100.0,20.0,1400.0,0.01,0.1788,0.167
96,20.0,20.0,100.0,20.0,1400.0,0.012,0.1909,0.199
97,20.0,20.0,100.0,20.0,1400.0,0.012,0.1909,0.208
98,20.0,20.0,100.0,20.0,1400.0,0.012,0.1909,0.208
99,20.0,20.0,100.0,20.0,1400.0,0.014,0.2034,0.202
100,20.0,20.0,100.0,20.0,1400.0,0.014,0.2034,0.205
101,20.0,20.0,100.0,20.0,1400.0,0.014,0.2034,0.205
102,20.0,20.0,100.0,20.0,1400.0,0.016,0.2163,0.179
103,20.0,20.0,100.0,20.0,1400.0,0.016,0.2163,0.18
104,20.0,20.0,100.0,20.0,1400.0,0.016,0.2163,0.179
105,20.0,20.0,100.0,20.0,1400.0,0.02,0.2461,0.205
106,20.0,20.0,100.0,20.0,1400.0,0.02,0.2461,0.212
107,20.0,20.0,100.0,20.0,1400.0,0.02,0.2461,0.214
108,20.0,20.0,100.0,20.0,1500.0,0.006,0.1688,0.21
109,20.0,20.0,100.0,20.0,1500.0,0.006,0.1688,0.212
110,20.0,20.0,100.0,20.0,1500.0,0.006,0.1688,0.21
111,20.0,20.0,100.0,20.0,1500.0,0.01,0.1802,0.181
112,20.0,20.0,100.0,20.0,1500.0,0.01,0.1802,0.181
113,20.0,20.0,100.0,20.0,1500.0,0.01,0.1802,0.19
114,20.0,20.0,100.0,20.0,1500.0,0.012,0.1923,0.204
115,20.0,20.0,100.0,20.0,1500.0,0.012,0.1923,0.212
116,20.0,20.0,100.0,20.0,1500.0,0.012,0.1923,0.202
117,20.0,20.0,100.0,20.0,1500.0,0.014,0.2023,0.191
118,20.0,20.0,100.0,20.0,1500.0,0.014,0.2023,0.191
119,20.0,20.0,100.0,20.0,1500.0,0.014,0.2023,0.191
120,20.0,20.0,100.0,20.0,1500.0,0.016,0.2076,0.181
121,20.0,20.0,100.0,20.0,1500.0,0.016,0.2076,0.182
122,20.0,20.0,100.0,20.0,1500.0,0.016,0.2076,0.188
126,20.0,20.0,100.0,20.0,1600.0,0.006,0.1708,0.212
127,20.0,20.0,100.0,20.0,1600.0,0.006,0.1708,0.214
128,20.0,20.0,100.0,20.0,1600.0,0.006,0.1708,0.212
129,20.0,20.0,100.0,20.0,1600.0,0.01,0.182,0.171
130,20.0,20.0,100.0,20.0,1600.0,0.01,0.182,0.17
131,20.0,20.0,100.0,20.0,1600.0,0.01,0.182,0.171
132,20.0,20.0,100.0,20.0,1600.0,0.012,0.1939,0.205
133,20.0,20.0,100.0,20.0,1600.0,0.012,0.1939,0.215
134,20.0,20.0,100.0,20.0,1600.0,0.012,0.1939,0.205
135,20.0,20.0,100.0,20.0,1600.0,0.014,0.1957,0.201
136,20.0,20.0,100.0,20.0,1600.0,0.014,0.1957,0.202
137,20.0,20.0,100.0,20.0,1600.0,0.014,0.1957,0.204
138,20.0,20.0,100.0,20.0,1600.0,0.016,0.208,0.184
139,20.0,20.0,100.0,20.0,1600.0,0.016,0.208,0.193
140,20.0,20.0,100.0,20.0,1600.0,0.016,0.208,0.193
141,20.0,20.0,100.0,20.0,1600.0,0.02,0.2342,0.209
142,20.0,20.0,100.0,20.0,1600.0,0.02,0.2342,0.201
143,20.0,20.0,100.0,20.0,1600.0,0.02,0.2342,0.208
144,20.0,20.0,100.0,20.0,1700.0,0.006,0.173,0.213
145,20.0,20.0,100.0,20.0,1700.0,0.006,0.173,0.216
146,20.0,20.0,100.0,20.0,1700.0,0.006,0.173,0.216
147,20.0,20.0,100.0,20.0,1700.0,0.01,0.184,0.173
148,20.0,20.0,100.0,20.0,1700.0,0.01,0.184,0.18
149,20.0,20.0,100.0,20.0,1700.0,0.01,0.184,0.181
150,20.0,20.0,100.0,20.0,1700.0,0.012,0.1957,0.216
151,20.0,20.0,100.0,20.0,1700.0,0.012,0.1957,0.219
152,20.0,20.0,100.0,20.0,1700.0,0.012,0.1957,0.217
153,20.0,20.0,100.0,20.0,1700.0,0.014,0.1966,0.198
154,20.0,20.0,100.0,20.0,1700.0,0.014,0.1966,0.204
155,20.0,20.0,100.0,20.0,1700.0,0.014,0.1966,0.195
156,20.0,20.0,100.0,20.0,1700.0,0.016,0.208,0.196
157,20.0,20.0,100.0,20.0,1700.0,0.016,0.208,0.188
158,20.0,20.0,100.0,20.0,1700.0,0.016,0.208,0.195
159,20.0,20.0,100.0,20.0,1700.0,0.02,0.2256,0.202
160,20.0,20.0,100.0,20.0,1700.0,0.02,0.2256,0.202
161,20.0,20.0,100.0,20.0,1700.0,0.02,0.2256,0.211
162,20.0,20.0,100.0,20.0,2000.0,0.006,0.1898,0.218
163,20.0,20.0,100.0,20.0,2000.0,0.006,0.1898,0.221
164,20.0,20.0,100.0,20.0,2000.0,0.006,0.1898,0.221
165,20.0,20.0,100.0,20.0,2000.0,0.01,0.1905,0.178
166,20.0,20.0,100.0,20.0,2000.0,0.01,0.1905,0.184
167,20.0,20.0,100.0,20.0,2000.0,0.01,0.1905,0.185
168,20.0,20.0,100.0,20.0,2000.0,0.012,0.2022,0.216
169,20.0,20.0,100.0,20.0,2000.0,0.012,0.2022,0.218
170,20.0,20.0,100.0,20.0,2000.0,0.012,0.2022,0.218
171,20.0,20.0,100.0,20.0,2000.0,0.014,0.2018,0.21
172,20.0,20.0,100.0,20.0,2000.0,0.014,0.2018,0.214
173,20.0,20.0,100.0,20.0,2000.0,0.014,0.2018,0.213
174,20.0,20.0,100.0,20.0,2000.0,0.016,0.2114,0.201
175,20.0,20.0,100.0,20.0,2000.0,0.016,0.2114,0.195
176,20.0,20.0,100.0,20.0,2000.0,0.016,0.2114,0.195
