,ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,Unnamed: 10
71,20.0,20.0,100.0,10.0,1700.0,1700.0,0.02,0.3792,3.0,0.366,
72,20.0,20.0,100.0,10.0,2000.0,2000.0,0.006,0.2846,1.0,0.392,
73,20.0,20.0,100.0,10.0,2000.0,2000.0,0.006,0.2846,2.0,0.396,
74,20.0,20.0,100.0,10.0,2000.0,2000.0,0.006,0.2846,3.0,0.389,
75,20.0,20.0,100.0,10.0,2000.0,2000.0,0.01,0.2964,1.0,0.342,
76,20.0,20.0,100.0,10.0,2000.0,2000.0,0.01,0.2964,2.0,0.326,
77,20.0,20.0,100.0,10.0,2000.0,2000.0,0.01,0.2964,3.0,0.341,
78,20.0,20.0,100.0,10.0,2000.0,2000.0,0.012,0.3147,1.0,0.369,
79,20.0,20.0,100.0,10.0,2000.0,2000.0,0.012,0.3147,2.0,0.373,
80,20.0,20.0,100.0,10.0,2000.0,2000.0,0.012,0.3147,3.0,0.36,
81,20.0,20.0,100.0,10.0,2000.0,2000.0,0.014,0.3312,1.0,0.363,
82,20.0,20.0,100.0,10.0,2000.0,2000.0,0.014,0.3312,2.0,0.366,
83,20.0,20.0,100.0,10.0,2000.0,2000.0,0.014,0.3312,3.0,0.35,
84,20.0,20.0,100.0,10.0,2000.0,2000.0,0.016,0.3465,1.0,0.281,
85,20.0,20.0,100.0,10.0,2000.0,2000.0,0.016,0.3465,2.0,0.287,
86,20.0,20.0,100.0,10.0,2000.0,2000.0,0.016,0.3465,3.0,0.29,
87,20.0,20.0,100.0,10.0,2000.0,2000.0,0.02,0.3901,1.0,0.353,
88,20.0,20.0,100.0,10.0,2000.0,2000.0,0.02,0.3901,2.0,0.362,
89,20.0,20.0,100.0,10.0,2000.0,2000.0,0.02,0.3901,3.0,0.366,
90,,,,,,,,,,,
91,20.0,20.0,100.0,20.0,1400.0,1400.0,0.006,0.1669,1.0,0.334,
92,20.0,20.0,100.0,20.0,1400.0,1400.0,0.006,0.1669,2.0,0.336,
93,20.0,20.0,100.0,20.0,1400.0,1400.0,0.006,0.1669,3.0,0.32,
94,20.0,20.0,100.0,20.0,1400.0,1400.0,0.01,0.1788,1.0,0.211,
95,20.0,20.0,100.0,20.0,1400.0,1400.0,0.01,0.1788,2.0,0.214,
96,20.0,20.0,100.0,20.0,1400.0,1400.0,0.01,0.1788,3.0,0.206,
97,20.0,20.0,100.0,20.0,1400.0,1400.0,0.012,0.1909,1.0,0.196,
98,20.0,20.0,100.0,20.0,1400.0,1400.0,0.012,0.1909,2.0,0.198,
99,20.0,20.0,100.0,20.0,1400.0,1400.0,0.012,0.1909,3.0,0.201,
100,20.0,20.0,100.0,20.0,1400.0,1400.0,0.014,0.2034,1.0,0.212,
101,20.0,20.0,100.0,20.0,1400.0,1400.0,0.014,0.2034,2.0,0.222,
102,20.0,20.0,100.0,20.0,1400.0,1400.0,0.014,0.2034,3.0,0.213,
103,20.0,20.0,100.0,20.0,1400.0,1400.0,0.016,0.2163,1.0,0.21,
104,20.0,20.0,100.0,20.0,1400.0,1400.0,0.016,0.2163,2.0,0.203,
105,20.0,20.0,100.0,20.0,1400.0,1400.0,0.016,0.2163,3.0,0.209,
109,20.0,20.0,100.0,20.0,1500.0,1500.0,0.006,0.1688,1.0,0.329,
110,20.0,20.0,100.0,20.0,1500.0,1500.0,0.006,0.1688,2.0,0.335,
111,20.0,20.0,100.0,20.0,1500.0,1500.0,0.006,0.1688,3.0,0.323,
112,20.0,20.0,100.0,20.0,1500.0,1500.0,0.01,0.1802,1.0,0.221,
113,20.0,20.0,100.0,20.0,1500.0,1500.0,0.01,0.1802,2.0,0.222,
114,20.0,20.0,100.0,20.0,1500.0,1500.0,0.01,0.1802,3.0,0.22,
115,20.0,20.0,100.0,20.0,1500.0,1500.0,0.012,0.1923,1.0,0.202,
116,20.0,20.0,100.0,20.0,1500.0,1500.0,0.012,0.1923,2.0,0.206,
117,20.0,20.0,100.0,20.0,1500.0,1500.0,0.012,0.1923,3.0,0.199,
118,20.0,20.0,100.0,20.0,1500.0,1500.0,0.014,0.2023,1.0,0.224,
119,20.0,20.0,100.0,20.0,1500.0,1500.0,0.014,0.2023,2.0,0.227,
120,20.0,20.0,100.0,20.0,1500.0,1500.0,0.014,0.2023,3.0,0.226,
121,20.0,20.0,100.0,20.0,1500.0,1500.0,0.016,0.2076,1.0,0.213,
122,20.0,20.0,100.0,20.0,1500.0,1500.0,0.016,0.2076,2.0,0.21,
123,20.0,20.0,100.0,20.0,1500.0,1500.0,0.016,0.2076,3.0,0.212,
127,20.0,20.0,100.0,20.0,1600.0,1600.0,0.006,0.1708,1.0,0.322,
128,20.0,20.0,100.0,20.0,1600.0,1600.0,0.006,0.1708,2.0,0.316,
129,20.0,20.0,100.0,20.0,1600.0,1600.0,0.006,0.1708,3.0,0.326,
130,20.0,20.0,100.0,20.0,1600.0,1600.0,0.01,0.182,1.0,0.25,
131,20.0,20.0,100.0,20.0,1600.0,1600.0,0.01,0.182,2.0,0.239,
132,20.0,20.0,100.0,20.0,1600.0,1600.0,0.01,0.182,3.0,0.246,
133,20.0,20.0,100.0,20.0,1600.0,1600.0,0.012,0.1939,1.0,0.208,
134,20.0,20.0,100.0,20.0,1600.0,1600.0,0.012,0.1939,2.0,0.214,
135,20.0,20.0,100.0,20.0,1600.0,1600.0,0.012,0.1939,3.0,0.216,
136,20.0,20.0,100.0,20.0,1600.0,1600.0,0.014,0.1957,1.0,0.19,
137,20.0,20.0,100.0,20.0,1600.0,1600.0,0.014,0.1957,2.0,0.191,
138,20.0,20.0,100.0,20.0,1600.0,1600.0,0.014,0.1957,3.0,0.186,
139,20.0,20.0,100.0,20.0,1600.0,1600.0,0.016,0.208,1.0,0.232,
140,20.0,20.0,100.0,20.0,1600.0,1600.0,0.016,0.208,2.0,0.226,
141,20.0,20.0,100.0,20.0,1600.0,1600.0,0.016,0.208,3.0,0.225,
145,20.0,20.0,100.0,20.0,1700.0,1700.0,0.006,0.173,1.0,0.337,
146,20.0,20.0,100.0,20.0,1700.0,1700.0,0.006,0.173,2.0,0.335,
147,20.0,20.0,100.0,20.0,1700.0,1700.0,0.006,0.173,3.0,0.322,
148,20.0,20.0,100.0,20.0,1700.0,1700.0,0.01,0.184,1.0,0.245,
149,20.0,20.0,100.0,20.0,1700.0,1700.0,0.01,0.184,2.0,0.249,
150,20.0,20.0,100.0,20.0,1700.0,1700.0,0.01,0.184,3.0,0.245,
151,20.0,20.0,100.0,20.0,1700.0,1700.0,0.012,0.1957,1.0,0.205,
152,20.0,20.0,100.0,20.0,1700.0,1700.0,0.012,0.1957,2.0,0.214,
153,20.0,20.0,100.0,20.0,1700.0,1700.0,0.012,0.1957,3.0,0.213,
154,20.0,20.0,100.0,20.0,1700.0,1700.0,0.014,0.1966,1.0,0.194,
155,20.0,20.0,100.0,20.0,1700.0,1700.0,0.014,0.1966,2.0,0.203,
156,20.0,20.0,100.0,20.0,1700.0,1700.0,0.014,0.1966,3.0,0.194,
157,20.0,20.0,100.0,20.0,1700.0,1700.0,0.016,0.208,1.0,0.233,
158,20.0,20.0,100.0,20.0,1700.0,1700.0,0.016,0.208,2.0,0.225,
159,20.0,20.0,100.0,20.0,1700.0,1700.0,0.016,0.208,3.0,0.229,
163,20.0,20.0,100.0,20.0,2000.0,2000.0,0.006,0.1898,1.0,0.325,
164,20.0,20.0,100.0,20.0,2000.0,2000.0,0.006,0.1898,2.0,0.327,
165,20.0,20.0,100.0,20.0,2000.0,2000.0,0.006,0.1898,3.0,0.316,
166,20.0,20.0,100.0,20.0,2000.0,2000.0,0.01,0.1905,1.0,0.255,
167,20.0,20.0,100.0,20.0,2000.0,2000.0,0.01,0.1905,2.0,0.252,
168,20.0,20.0,100.0,20.0,2000.0,2000.0,0.01,0.1905,3.0,0.243,
169,20.0,20.0,100.0,20.0,2000.0,2000.0,0.012,0.2022,1.0,0.231,
170,20.0,20.0,100.0,20.0,2000.0,2000.0,0.012,0.2022,2.0,0.239,
171,20.0,20.0,100.0,20.0,2000.0,2000.0,0.012,0.2022,3.0,0.242,
172,20.0,20.0,100.0,20.0,2000.0,2000.0,0.014,0.2018,1.0,0.201,
173,20.0,20.0,100.0,20.0,2000.0,2000.0,0.014,0.2018,2.0,0.208,
174,20.0,20.0,100.0,20.0,2000.0,2000.0,0.014,0.2018,3.0,0.209,
175,20.0,20.0,100.0,20.0,2000.0,2000.0,0.016,0.2114,1.0,0.195,
176,20.0,20.0,100.0,20.0,2000.0,2000.0,0.016,0.2114,2.0,0.2,
177,20.0,20.0,100.0,20.0,2000.0,2000.0,0.016,0.2114,3.0,0.198,
178,20.0,20.0,100.0,20.0,2000.0,2000.0,0.02,0.2264,1.0,0.247,
179,20.0,20.0,100.0,20.0,2000.0,2000.0,0.02,0.2264,2.0,0.247,
180,20.0,20.0,100.0,20.0,2000.0,2000.0,0.02,0.2264,3.0,0.25,
181,,,,,,,,,,,
182,20.0,20.0,100.0,30.0,1400.0,1400.0,0.006,0.1608,1.0,0.212,
183,20.0,20.0,100.0,30.0,1400.0,1400.0,0.006,0.1608,2.0,0.211,
184,20.0,20.0,100.0,30.0,1400.0,1400.0,0.006,0.1608,3.0,0.219,
185,20.0,20.0,100.0,30.0,1400.0,1400.0,0.01,0.1534,1.0,0.157,
186,20.0,20.0,100.0,30.0,1400.0,1400.0,0.01,0.1534,2.0,0.154,
187,20.0,20.0,100.0,30.0,1400.0,1400.0,0.01,0.1534,3.0,0.155,
188,20.0,20.0,100.0,30.0,1400.0,1400.0,0.012,0.1608,1.0,0.181,
189,20.0,20.0,100.0,30.0,1400.0,1400.0,0.012,0.1608,2.0,0.183,
190,20.0,20.0,100.0,30.0,1400.0,1400.0,0.012,0.1608,3.0,0.183,
191,20.0,20.0,100.0,30.0,1400.0,1400.0,0.014,0.1622,1.0,0.167,
192,20.0,20.0,100.0,30.0,1400.0,1400.0,0.014,0.1622,2.0,0.165,
193,20.0,20.0,100.0,30.0,1400.0,1400.0,0.014,0.1622,3.0,0.165,
194,20.0,20.0,100.0,30.0,1400.0,1400.0,0.016,0.1706,1.0,0.172,
