,ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time
0,30,20,50,80,1500,1500,0.004,0.265,1,0.282
1,30,20,50,80,1500,1500,0.004,0.265,2,0.244
2,30,20,50,80,1500,1500,0.004,0.265,3,0.268
3,20,20,50,20,1000,1000,0.004,0.2732,1,0.448
4,20,20,50,20,1000,1000,0.004,0.2732,2,0.399
5,20,20,50,20,1000,1000,0.004,0.2732,3,0.393
6,20,20,50,20,1000,1000,0.006,0.2576,1,0.32
7,20,20,50,20,1000,1000,0.006,0.2576,2,0.309
8,20,20,50,20,1000,1000,0.006,0.2576,3,0.318
9,20,20,50,20,1000,1000,0.008,0.2657,1,0.278
10,20,20,50,20,1000,1000,0.008,0.2657,2,0.287
11,20,20,50,20,1000,1000,0.008,0.2657,3,0.277
12,20,20,50,20,1000,1000,0.01,0.2786,1,0.264
13,20,20,50,20,1000,1000,0.01,0.2786,2,0.262
14,20,20,50,20,1000,1000,0.01,0.2786,3,0.263
15,20,20,50,20,1000,1000,0.012,0.2918,1,0.263
16,20,20,50,20,1000,1000,0.012,0.2918,2,0.266
17,20,20,50,20,1000,1000,0.012,0.2918,3,0.256
18,20,20,50,20,1000,1000,0.014,0.3097,1,0.267
19,20,20,50,20,1000,1000,0.014,0.3097,2,0.272
20,20,20,50,20,1000,1000,0.014,0.3097,3,0.272
21,20,20,50,20,1500,1500,0.004,0.276,1,0.316
22,20,20,50,20,1500,1500,0.004,0.276,2,0.311
23,20,20,50,20,1500,1500,0.004,0.276,3,0.296
24,20,20,50,20,1500,1500,0.006,0.2648,1,0.353
25,20,20,50,20,1500,1500,0.006,0.2648,2,0.351
26,20,20,50,20,1500,1500,0.006,0.2648,3,0.349
27,20,20,50,20,1500,1500,0.008,0.2625,1,0.295
28,20,20,50,20,1500,1500,0.008,0.2625,2,0.307
29,20,20,50,20,1500,1500,0.008,0.2625,3,0.302
30,20,20,50,20,1500,1500,0.01,0.2735,1,0.28
31,20,20,50,20,1500,1500,0.01,0.2735,2,0.279
32,20,20,50,20,1500,1500,0.01,0.2735,3,0.28
33,20,20,50,20,1500,1500,0.012,0.2739,1,0.273
34,20,20,50,20,1500,1500,0.012,0.2739,2,0.273
35,20,20,50,20,1500,1500,0.012,0.2739,3,0.265
36,20,20,50,20,2000,2000,0.004,0.2824,1,0.474
37,20,20,50,20,2000,2000,0.004,0.2824,2,0.306
38,20,20,50,20,2000,2000,0.004,0.2824,3,0.296
39,20,20,50,20,2000,2000,0.006,0.2721,1,0.358
40,20,20,50,20,2000,2000,0.006,0.2721,2,0.339
41,20,20,50,20,2000,2000,0.006,0.2721,3,0.346
42,20,20,50,20,2000,2000,0.008,0.2801,1,0.307
43,20,20,50,20,2000,2000,0.008,0.2801,2,0.316
44,20,20,50,20,2000,2000,0.008,0.2801,3,0.307
45,20,20,50,20,2000,2000,0.01,0.2824,1,0.288
46,20,20,50,20,2000,2000,0.01,0.2824,2,0.279
47,20,20,50,20,2000,2000,0.01,0.2824,3,0.288
48,20,20,50,20,2000,2000,0.012,0.2809,1,0.279
49,20,20,50,20,2000,2000,0.012,0.2809,2,0.28
50,20,20,50,20,2000,2000,0.012,0.2809,3,0.27
51,20,20,50,20,2000,2000,0.014,0.2808,1,0.266
52,20,20,50,20,2000,2000,0.014,0.2808,2,0.276
53,20,20,50,20,2000,2000,0.014,0.2808,3,0.275
54,20,20,50,20,2000,2000,0.016,0.2916,1,0.297
55,20,20,50,20,2000,2000,0.016,0.2916,2,0.296
56,20,20,50,20,2000,2000,0.016,0.2916,3,0.29
57,20,20,50,20,2000,2000,0.018000000000000002,0.2922,1,0.29
58,20,20,50,20,2000,2000,0.018000000000000002,0.2922,2,0.293
59,20,20,50,20,2000,2000,0.018000000000000002,0.2922,3,0.302
60,20,20,50,20,2000,2000,0.02,0.2984,1,0.286
61,20,20,50,20,2000,2000,0.02,0.2984,2,0.288
62,20,20,50,20,2000,2000,0.02,0.2984,3,0.303
63,20,20,50,25,500,500,0.003,0.277,1,0.547
64,20,20,50,25,500,500,0.003,0.277,2,0.513
65,20,20,50,25,500,500,0.003,0.277,3,0.424
66,20,20,50,25,500,500,0.004,0.2733,1,0.441
67,20,20,50,25,500,500,0.004,0.2733,2,0.344
68,20,20,50,25,500,500,0.004,0.2733,3,0.375
69,20,20,50,25,500,500,0.005,0.2728,1,0.383
70,20,20,50,25,500,500,0.005,0.2728,2,0.456
71,20,20,50,25,500,500,0.005,0.2728,3,0.398
72,20,20,50,25,500,500,0.006,0.0,1,1000.0
73,20,20,50,25,1000,1000,0.002,0.2991,1,0.473
