ta,ts,speed,kp,kd-kvfb,kd-kvff,ki,simul_settling_time,trial_no,settling_time,
20,20,100,20,1400,1400,0.016,0.2163,3,0.209,
20,20,100,20,1400,1400,0.02,0.2461,1,발산,
20,20,100,20,1400,1400,0.02,0.2461,2,발산,
20,20,100,20,1400,1400,0.02,0.2461,3,발산,
20,20,100,20,1500,1500,0.006,0.1688,1,0.329,
20,20,100,20,1500,1500,0.006,0.1688,2,0.335,
20,20,100,20,1500,1500,0.006,0.1688,3,0.323,
20,20,100,20,1500,1500,0.01,0.1802,1,0.221,
20,20,100,20,1500,1500,0.01,0.1802,2,0.222,
20,20,100,20,1500,1500,0.01,0.1802,3,0.22,
20,20,100,20,1500,1500,0.012,0.1923,1,0.202,
20,20,100,20,1500,1500,0.012,0.1923,2,0.206,
20,20,100,20,1500,1500,0.012,0.1923,3,0.199,
20,20,100,20,1500,1500,0.014,0.2023,1,0.224,
20,20,100,20,1500,1500,0.014,0.2023,2,0.227,
20,20,100,20,1500,1500,0.014,0.2023,3,0.226,
20,20,100,20,1500,1500,0.016,0.2076,1,0.213,
20,20,100,20,1500,1500,0.016,0.2076,2,0.21,
20,20,100,20,1500,1500,0.016,0.2076,3,0.212,
20,20,100,20,1500,1500,0.02,0.2351,1,발산,
20,20,100,20,1500,1500,0.02,0.2351,2,발산,
20,20,100,20,1500,1500,0.02,0.2351,3,발산,
20,20,100,20,1600,1600,0.006,0.1708,1,0.322,
20,20,100,20,1600,1600,0.006,0.1708,2,0.316,
20,20,100,20,1600,1600,0.006,0.1708,3,0.326,
20,20,100,20,1600,1600,0.01,0.182,1,0.25,
20,20,100,20,1600,1600,0.01,0.182,2,0.239,
20,20,100,20,1600,1600,0.01,0.182,3,0.246,
20,20,100,20,1600,1600,0.012,0.1939,1,0.208,
20,20,100,20,1600,1600,0.012,0.1939,2,0.214,
20,20,100,20,1600,1600,0.012,0.1939,3,0.216,
20,20,100,20,1600,1600,0.014,0.1957,1,0.19,
20,20,100,20,1600,1600,0.014,0.1957,2,0.191,
20,20,100,20,1600,1600,0.014,0.1957,3,0.186,
20,20,100,20,1600,1600,0.016,0.208,1,0.232,
20,20,100,20,1600,1600,0.016,0.208,2,0.226,
20,20,100,20,1600,1600,0.016,0.208,3,0.225,
20,20,100,20,1600,1600,0.02,0.2342,1,발산,
20,20,100,20,1600,1600,0.02,0.2342,2,발산,
20,20,100,20,1600,1600,0.02,0.2342,3,발산,
20,20,100,20,1700,1700,0.006,0.173,1,0.337,
20,20,100,20,1700,1700,0.006,0.173,2,0.335,
20,20,100,20,1700,1700,0.006,0.173,3,0.322,
20,20,100,20,1700,1700,0.01,0.184,1,0.245,
20,20,100,20,1700,1700,0.01,0.184,2,0.249,
20,20,100,20,1700,1700,0.01,0.184,3,0.245,
20,20,100,20,1700,1700,0.012,0.1957,1,0.205,
20,20,100,20,1700,1700,0.012,0.1957,2,0.214,
20,20,100,20,1700,1700,0.012,0.1957,3,0.213,
20,20,100,20,1700,1700,0.014,0.1966,1,0.194,
20,20,100,20,1700,1700,0.014,0.1966,2,0.203,
20,20,100,20,1700,1700,0.014,0.1966,3,0.194,
20,20,100,20,1700,1700,0.016,0.208,1,0.233,
20,20,100,20,1700,1700,0.016,0.208,2,0.225,
20,20,100,20,1700,1700,0.016,0.208,3,0.229,
20,20,100,20,1700,1700,0.02,0.2256,1,발산,
20,20,100,20,1700,1700,0.02,0.2256,2,발산,
20,20,100,20,1700,1700,0.02,0.2256,3,발산,
20,20,100,20,2000,2000,0.006,0.1898,1,0.325,
20,20,100,20,2000,2000,0.006,0.1898,2,0.327,
20,20,100,20,2000,2000,0.006,0.1898,3,0.316,
20,20,100,20,2000,2000,0.01,0.1905,1,0.255,
20,20,100,20,2000,2000,0.01,0.1905,2,0.252,
20,20,100,20,2000,2000,0.01,0.1905,3,0.243,
20,20,100,20,2000,2000,0.012,0.2022,1,0.231,
20,20,100,20,2000,2000,0.012,0.2022,2,0.239,
20,20,100,20,2000,2000,0.012,0.2022,3,0.242,
20,20,100,20,2000,2000,0.014,0.2018,1,0.201,
20,20,100,20,2000,2000,0.014,0.2018,2,0.208,
20,20,100,20,2000,2000,0.014,0.2018,3,0.209,
20,20,100,20,2000,2000,0.016,0.2114,1,0.195,
20,20,100,20,2000,2000,0.016,0.2114,2,0.2,
